Motif Name,New Symbol,Entrez ID
V$PARP_Q3_M01211,PARP,142
V$PARP_Q4_M02027,PARP,142
V$DAX1_01_M01248,DAX1,190
V$AHR_01_M00139,AHR,196
V$AHR_Q5_M00778,AHR,196
V$AHR_Q6_M01855,AHR,196
V$AHRARNT_01_M00235,AHRARNT,196
V$AHRARNT_02_M00237,AHRARNT,196
Alx3.1,ALX3,257
ALX3_homeodomain_full_dimeric_13_1,ALX3,257
ALX3_homeodomain_full_monomeric_10_1,ALX3,257
V$ALX3_01_M01355,ALX3,257
V$ALX3_02_M02943,ALX3,257
V$AIRE_01_M00999,AIRE,326
V$AIRE_02_M01000,AIRE,326
Ar_MA0007.1,AR,367
AR_nuclearreceptor_full_dimeric_17_1,AR,367
V$AR_01_M00481,AR,367
V$AR_02_M00953,AR,367
V$AR_03_M00956,AR,367
V$AR_04_M01201,AR,367
V$AR_Q2_M00447,AR,367
V$AR_Q6_01_M01996,AR,367
V$AR_Q6_M00962,AR,367
Phox2a.1,PHOX2A,401
PHOX2A_homeodomain_DBD_dimeric_11_1,PHOX2A,401
V$PMX2A_01_M01444,PMX2A,401
Arnt_MA0004.1,ARNT,405
V$ARNT_01_M00236,ARNT,405
V$ARNT_02_M00539,ARNT,405
ARNTL_bHLH_DBD_dimeric_10_1,ARNTL,406
Ascl2.1,ASCL2,430
Ascl2.2,ASCL2,430
Ascl2_bHLH_DBD_dimeric_10_1,ASCL2,430
V$ASCL2_03_M02737,ASCL2,430
V$ASCL2_04_M02841,ASCL2,430
V$ATF_01_M00017,ATF,466
V$ATF_B_M00338,ATF,466
Atf1.1,ATF1,466
Atf1.2,ATF1,466
V$ATF1_03_M02738,ATF1,466
V$ATF1_04_M02842,ATF1,466
V$ATF1_Q6_01_M01861,ATF1,466
V$ATF1_Q6_M00691,ATF1,466
V$ATF3_Q6_01_M01863,ATF3,467
V$ATF3_Q6_M00513,ATF3,467
Atoh1_bHLH_DBD_dimeric_10_1,ATOH1,474
V$MATH1_Q2_M01716,MATH1,474
V$BACH1_01_M00495,BACH1,571
Bapx1.1,BAPX1,579
V$NKX32_01_M01181,NKX32,579
V$NKX32_02_M01482,NKX32,579
NKX3-2_homeodomain_DBD_monomeric_9_1,NKX3-2,579
Nkx3-2_MA0122.1,NKX3-2,579
V$BCL6_01_M01183,BCL6,604
V$BCL6_02_M01185,BCL6,604
V$BCL6_Q3_01_M02085,BCL6,604
V$BCL6_Q3_M01171,BCL6,604
V$BLIMP1_Q6_M01066,BLIMP1,639
PRDM1_C2H2_full_monomeric-or-dimeric_15_1,PRDM1,639
V$BRCA_01_M01082,BRCA,672
BRCA1_MA0133.1,BRCA1,672
V$CACD_01_M01113,CACD,772
V$AML3_Q6_M01856,AML3,860
V$OSF2_Q6_M00731,OSF2,860
RUNX2_RUNX_DBD_dimeric_16_1,RUNX2,860
RUNX2_RUNX_DBD_dimeric_18_1,RUNX2,860
RUNX2_RUNX_DBD_monomeric_9_1,RUNX2,860
V$AML_Q6_M00769,AML,861
V$AML1_01_M00271,AML1,861
V$AML1_Q4_M01658,AML1,861
V$AML1_Q5_M02084,AML1,861
V$AML1_Q6_M00751,AML1,861
RUNX1_MA0002.1,RUNX1,861
RUNX1_MA0002.2,RUNX1,861
V$RUNX1_01_M02257,RUNX1,861
V$AML2_01_M01759,AML2,864
V$AML2_Q3_01_M01854,AML2,864
V$AML2_Q3_M01814,AML2,864
RUNX3_RUNX_DBD_dimeric_16_1,RUNX3,864
RUNX3_RUNX_DBD_dimeric_18_1,RUNX3,864
RUNX3_RUNX_full_monomeric_10_1,RUNX3,864
V$CDC5_01_M00478,CDC5,988
V$CDX_Q5_M00991,CDX,1044
Cdx1.1,CDX1,1044
CDX1_homeodomain_DBD_monomeric_9_1,CDX1,1044
V$CDX1_01_M01373,CDX1,1044
V$CDX1_Q5_M02086,CDX1,1044
Cdx2.1,CDX2,1045
CDX2_homeodomain_DBD_monomeric_9_1,CDX2,1045
V$CDX2_01_M01449,CDX2,1045
V$CDX2_Q5_01_M01659,CDX2,1045
V$CDX2_Q5_02_M02087,CDX2,1045
V$CDX2_Q5_M00729,CDX2,1045
V$CEBP_01_M00159,CEBP,1050
V$CEBP_C_M00201,CEBP,1050
V$CEBP_Q2_01_M00912,CEBP,1050
V$CEBP_Q2_M00190,CEBP,1050
V$CEBP_Q3_M00770,CEBP,1050
Cebpa_MA0102.1,CEBPA,1050
CEBPA_MA0102.2,CEBPA,1050
V$CEBPA_01_M00116,CEBPA,1050
V$CEBPA_Q6_M01866,CEBPA,1050
CEBPB_bZIP_full_dimeric_10_1,CEBPB,1051
V$CEBPB_01_M00109,CEBPB,1051
V$CEBPB_02_M00117,CEBPB,1051
V$CEBPB_Q6_M01896,CEBPB,1051
CEBPD_bZIP_DBD_dimeric_10_1,CEBPD,1052
V$CEBPD_Q6_M00621,CEBPD,1052
CEBPE_bZIP_DBD_dimeric_10_1,CEBPE,1053
V$CEBPE_01_M01772,CEBPE,1053
V$CEBPE_Q6_M01868,CEBPE,1053
CEBPG_bZIP_full_dimeric_10_1,CEBPG,1054
V$CEBPG_Q6_01_M01869,CEBPG,1054
V$CEBPG_Q6_M00622,CEBPG,1054
CENPB_CENPB_full_monomeric_15_1,CENPB,1059
V$CREB_01_M00039,CREB,1385
V$CREB_02_M00113,CREB,1385
V$CREB_Q2_01_M00916,CREB,1385
V$CREB_Q2_M00177,CREB,1385
V$CREB_Q3_M00801,CREB,1385
V$CREB_Q4_01_M00917,CREB,1385
V$CREB_Q4_M00178,CREB,1385
CREB1_MA0018.1,CREB1,1385
CREB1_MA0018.2,CREB1,1385
V$CREB1_01_M02279,CREB1,1385
V$CREBATF_Q6_M00981,CREBATF,1385
V$ATF2_Q5_M01862,ATF2,1386
V$CREBP1_01_M00040,CREBP1,1386
V$CREBP1_Q2_M00179,CREBP1,1386
V$CREBP1CJUN_01_M00041,CREBP1CJUN,1386
V$CREM_Q6_M01820,CREM,1390
Crx.1,CRX,1406
V$CRX_02_M01436,CRX,1406
V$CRX_Q4_01_M01712,CRX,1406
V$CRX_Q4_M00623,CRX,1406
V$OTX3_01_M01403,OTX3,1406
V$NKX25_01_M00240,NKX25,1482
V$NKX25_02_M00241,NKX25,1482
V$NKX25_03_M01414,NKX25,1482
V$NKX25_Q5_M01043,NKX25,1482
V$NKX25_Q6_M02108,NKX25,1482
Nkx2-5.1,NKX2-5,1482
Nkx2-5_MA0063.1,NKX2-5,1482
V$CTF1_01_M01196,CTF1,1489
V$CDP_01_M00095,CDP,1523
V$CDP_02_M00102,CDP,1523
V$CDP_03_M01342,CDP,1523
V$CDP_04_M01344,CDP,1523
V$CDPCR1_01_M00104,CDPCR1,1523
V$CDPCR3_01_M00105,CDPCR3,1523
V$CDPCR3HD_01_M00106,CDPCR3HD,1523
V$CLOX_01_M00103,CLOX,1523
Cutl1.1,CUTL1,1523
Cutl1.2,CUTL1,1523
CUX1_CUT_DBD_dimeric_17_1,CUX1,1523
CUX1_CUT_DBD_dimeric_18_1,CUX1,1523
CUX1_CUT_DBD_monomeric_10_1,CUX1,1523
V$CUX1_03_M02958,CUX1,1523
V$CUX1_04_M02959,CUX1,1523
DBP_bZIP_full_dimeric_12_1,DBP,1628
V$DBP_Q6_01_M01872,DBP,1628
V$DBP_Q6_M00624,DBP,1628
V$CHOP_01_M00249,CHOP,1649
Dlx1.1,DLX1,1745
DLX1_homeodomain_DBD_monomeric_10_1,DLX1,1745
Dlx1_homeodomain_DBD_monomeric_8_1,DLX1,1745
V$DLX1_01_M01439,DLX1,1745
Dlx2.1,DLX2,1746
Dlx2_homeodomain_DBD_monomeric_8_1,DLX2,1746
V$DLX2_01_M01468,DLX2,1746
Dlx3.1,DLX3,1747
DLX3_homeodomain_DBD_monomeric_8_1,DLX3,1747
V$DLX3_01_M01400,DLX3,1747
V$DLX3_02_M02051,DLX3,1747
Dlx4.1,DLX4,1748
DLX4_homeodomain_DBD_monomeric_8_1,DLX4,1748
V$DLX7_01_M01486,DLX7,1748
Dlx5.1,DLX5,1749
DLX5_homeodomain_FL_monomeric_8_1,DLX5,1749
V$DLX5_01_M01388,DLX5,1749
DLX6_homeodomain_DBD_monomeric_8_1,DLX6,1750
V$DMRT1_01_M01146,DMRT1,1761
V$DR1_Q3_M00762,DR1,1810
Arid3a.1,ARID3A,1820
Arid3a.2,ARID3A,1820
ARID3A_MA0151.1,ARID3A,1820
V$ARID3A_02_M02839,ARID3A,1820
V$ARID3A_04_M02735,ARID3A,1820
V$DRI1_01_M01654,ARID3A,1820
V$E2F_01_M00024,E2F,1869
