Motif Name,New Symbol,Entrez ID
V$PARP_Q3_M01211,PARP,11545
V$PARP_Q4_M02027,PARP,11545
V$DAX1_01_M01248,DAX1,11614
V$AHR_01_M00139,AHR,11622
V$AHR_Q5_M00778,AHR,11622
V$AHR_Q6_M01855,AHR,11622
V$AHRARNT_01_M00235,AHRARNT,11622
V$AHRARNT_02_M00237,AHRARNT,11622
Alx3.1,ALX3,11694
ALX3_homeodomain_full_dimeric_13_1,ALX3,11694
ALX3_homeodomain_full_monomeric_10_1,ALX3,11694
V$ALX3_01_M01355,ALX3,11694
V$ALX3_02_M02943,ALX3,11694
V$AIRE_01_M00999,AIRE,11634
V$AIRE_02_M01000,AIRE,11634
Ar_MA0007.1,AR,11835
AR_nuclearreceptor_full_dimeric_17_1,AR,11835
V$AR_01_M00481,AR,11835
V$AR_02_M00953,AR,11835
V$AR_03_M00956,AR,11835
V$AR_04_M01201,AR,11835
V$AR_Q2_M00447,AR,11835
V$AR_Q6_01_M01996,AR,11835
V$AR_Q6_M00962,AR,11835
Phox2a.1,PHOX2A,11859
PHOX2A_homeodomain_DBD_dimeric_11_1,PHOX2A,11859
V$PMX2A_01_M01444,PMX2A,11859
Arnt_MA0004.1,ARNT,11863
V$ARNT_01_M00236,ARNT,11863
V$ARNT_02_M00539,ARNT,11863
ARNTL_bHLH_DBD_dimeric_10_1,ARNTL,11865
Ascl2.1,ASCL2,17173
Ascl2.2,ASCL2,17173
Ascl2_bHLH_DBD_dimeric_10_1,ASCL2,17173
V$ASCL2_03_M02737,ASCL2,17173
V$ASCL2_04_M02841,ASCL2,17173
V$ATF_01_M00017,ATF,100040260
V$ATF_B_M00338,ATF,100040260
Atf1.1,ATF1,100040260
Atf1.2,ATF1,100040260
V$ATF1_03_M02738,ATF1,100040260
V$ATF1_04_M02842,ATF1,100040260
V$ATF1_Q6_01_M01861,ATF1,100040260
V$ATF1_Q6_M00691,ATF1,100040260
V$ATF3_Q6_01_M01863,ATF3,11910
V$ATF3_Q6_M00513,ATF3,11910
Atoh1_bHLH_DBD_dimeric_10_1,ATOH1,11921
V$MATH1_Q2_M01716,MATH1,11921
V$BACH1_01_M00495,BACH1,12013
Bapx1.1,BAPX1,12020
V$NKX32_01_M01181,NKX32,12020
V$NKX32_02_M01482,NKX32,12020
NKX3-2_homeodomain_DBD_monomeric_9_1,NKX3-2,12020
Nkx3-2_MA0122.1,NKX3-2,12020
V$BCL6_01_M01183,BCL6,12053
V$BCL6_02_M01185,BCL6,12053
V$BCL6_Q3_01_M02085,BCL6,12053
V$BCL6_Q3_M01171,BCL6,12053
V$BLIMP1_Q6_M01066,BLIMP1,12142
PRDM1_C2H2_full_monomeric-or-dimeric_15_1,PRDM1,12142
V$BRCA_01_M01082,BRCA,12189
BRCA1_MA0133.1,BRCA1,12189
V$AML3_Q6_M01856,AML3,12393
V$OSF2_Q6_M00731,OSF2,12393
RUNX2_RUNX_DBD_dimeric_16_1,RUNX2,12393
RUNX2_RUNX_DBD_dimeric_18_1,RUNX2,12393
RUNX2_RUNX_DBD_monomeric_9_1,RUNX2,12393
V$AML_Q6_M00769,AML,12394
V$AML1_01_M00271,AML1,12394
V$AML1_Q4_M01658,AML1,12394
V$AML1_Q5_M02084,AML1,12394
V$AML1_Q6_M00751,AML1,12394
RUNX1_MA0002.1,RUNX1,12394
RUNX1_MA0002.2,RUNX1,12394
V$RUNX1_01_M02257,RUNX1,12394
V$AML2_01_M01759,AML2,12399
V$AML2_Q3_01_M01854,AML2,12399
V$AML2_Q3_M01814,AML2,12399
RUNX3_RUNX_DBD_dimeric_16_1,RUNX3,12399
RUNX3_RUNX_DBD_dimeric_18_1,RUNX3,12399
RUNX3_RUNX_full_monomeric_10_1,RUNX3,12399
V$CDC5_01_M00478,CDC5,71702
V$CDX_Q5_M00991,CDX,12590
Cdx1.1,CDX1,12590
CDX1_homeodomain_DBD_monomeric_9_1,CDX1,12590
V$CDX1_01_M01373,CDX1,12590
V$CDX1_Q5_M02086,CDX1,12590
Cdx2.1,CDX2,12591
CDX2_homeodomain_DBD_monomeric_9_1,CDX2,12591
V$CDX2_01_M01449,CDX2,12591
V$CDX2_Q5_01_M01659,CDX2,12591
V$CDX2_Q5_02_M02087,CDX2,12591
V$CDX2_Q5_M00729,CDX2,12591
V$CEBP_01_M00159,CEBP,12606
V$CEBP_C_M00201,CEBP,12606
V$CEBP_Q2_01_M00912,CEBP,12606
V$CEBP_Q2_M00190,CEBP,12606
V$CEBP_Q3_M00770,CEBP,12606
Cebpa_MA0102.1,CEBPA,12606
