TF Family,Number of TFs,Entrez IDs
ZNF763-like factors,4,240068 170938 620419 102637111
Krüppel-like factors,16,16596 21847 194655 16597 50794 619665 66277 75753 16598 16599 16600 12224 23849 93691 245671 16601
Neurogenin / Atonal-like factors,17,18012 71093 59058 140489 50914 50913 94222 17341 114712 18013 11923 11922 18014 11924 11925 11921 53404
HOX9-13,15,15431 15421 15432 15398 15408 15422 15433 15417 15427 15438 15395 209448 15430 15396 109663
ZNF222-like factors,2,56707 56525
Hairy-like factors,10,15205 56198 234219 15206 15207 15208 55927 84653 15213 15214
Single GATA-type zinc-finger,13,67210 13436 54427 22589 83925 234366 229542 68703 116870 23942 116871 100009600 13435
THAP-related factors,7,73754 59016 72981 66816 69876 67026 69009
ZFN283-like factors,3,22648 338354 233058
MIER-like factors,12,71148 666528 57354 238317 70427 218613 116870 23942 116871 68703 66233 224829
GLI-like factors,11,14632 22774 65100 14633 14634 230587 83396 226075 22771 22772 22773
FOXD,4,15229 17301 15221 14237
Ets-like factors,10,23871 13875 23872 14008 14390 14247 13876 260298 27049 546801
Interferon-regulatory factors,9,16362 16363 54131 16364 27056 54139 54123 15900 16391
Sp1-like factors,9,20683 78912 20687 20688 64406 83395 170574 320145 381373
Ahr-like factors,9,11622 11624 20464 20465 15251 53417 13819 18142 27386
Other three adjacent zinc finger factors,7,328801 69752 68992 22762 23967 381867 11569
E2F,8,13555 242705 13557 104394 13559 50496 52679 108961
TOX-related factors,8,252838 269389 244579 268741 57376 66867 15353 106894
RFX-related factors,6,19724 19726 71137 320995 319758 619289
IkappaB-related factors,7,18035 18036 243910 18037 80859 72749 18038
DMRT,7,50796 226049 240590 242523 242620 56296 71241
Factors with 2-3 adjacent zinc fingers and a BTB/POZ domain,8,230119 71834 72147 56805 81630 58206 241311 240869
Twist-like factors,7,22160 13345 15110 15111 21407 19213 26910
ZNF24-like factors,2,59057 74570
ZNF620-like factors,2,72556 73729
ZFN25-like factors,3,22750 22696 245368
STAT factors,7,20846 20847 20848 20849 20850 20851 20852
CpG-binding proteins,7,74322 17190 52463 214162 225876 13433 381022
IRX (Iroquois),5,16371 16372 16373 50916 64379
ZFN813-like factors,1,101055890
TBX1-related factors,6,21380 109575 21384 76365 57246 245572
DLX,6,13390 13392 13393 13394 13395 13396
Mad-like factors,5,17119 17121 29808 17859 17428
HSF factors,5,15499 15500 26386 327992 71066
Arnt-like factors,6,11863 11864 11865 272322 12753 18143
Two zinc-finger GATA factors,6,14460 14461 14462 14463 14464 14465
